Assault,Robbery,Rape,Murder,Theft,Vehicle Theft,Burglary,Arson,Kidnapping,Drug Crimes,Vandalism,Identity Theft,Animal Cruelty,Total Violent Crime,Total Violent Crime Grade,Total Property Crime,Total Property Crime Grade,Total “Other” Rate,Total “Other” Rate Grade,Total Crime,Total Crime Grade,Zipcode,City
0.475,0.1605,0.2619,0.0119,1.16,0.0686,0.7556,0.0052,0.0316,1.297,1.597,0.9859,0.0406,0.9093,A,1.99,A,3.952,A,6.8513,A+,12502,ancram-ny
1.143,0.0462,0.4861,0.032,14.24,1.004,3.026,0.0694,0.1077,0.7558,5.236,0.7403,0.0041,1.707,B,18.33,C,6.844,B,26.881,C+,67001,andale-ks
3.688,0.7546,0.4104,0.0604,11.18,0.3528,9.392,0.0634,0.2107,4.774,6.824,0.7626,0.0036,4.913,D,20.99,D,12.58,D,38.483,D+,36420,andalusia-al
3.688,0.7546,0.4104,0.0604,11.18,0.3528,9.392,0.0634,0.2107,4.774,6.824,0.7626,0.0036,4.913,D,20.99,D,12.58,D,38.483,D+,36421,andalusia-al
1.301,0.1388,0.4181,0.0372,4.037,0.1627,2.863,0.0707,0.01,0.0967,3.393,0.9481,0.0089,1.895,B,7.133,A,4.457,A,13.485,A,61232,andalusia-il
0.756,4.036,1.721,0.2508,7.664,2.926,8.414,1.017,2.344,10.77,26.66,3.324,0.1329,6.764,D,20.02,D,43.23,F,70.014,D-,99744,anderson-ak
2.957,0.8753,0.4,0.0533,7.479,1.206,8.249,0.0354,0.2714,0.9277,7.97,0.7443,0.0051,4.286,D,16.97,C,9.918,C,31.174,C,35610,anderson-al
2.679,0.2819,0.3864,0.0286,3.876,2.792,6.022,0.6898,0.2495,2.609,7.375,1.164,0.0311,3.376,C,13.38,C,11.43,C,28.186,C,96007,anderson-ca
3.562,0.7963,0.3821,0.0508,3.433,1.8,5.085,0.0397,0.071,1.918,5.645,1.184,0.0262,4.791,D,10.36,B,8.843,C,23.994,B-,46011,anderson-in
3.562,0.7963,0.3821,0.0508,3.433,1.8,5.085,0.0397,0.071,1.918,5.645,1.184,0.0262,4.791,D,10.36,B,8.843,C,23.994,B-,46012,anderson-in
3.562,0.7963,0.3821,0.0508,3.433,1.8,5.085,0.0397,0.071,1.918,5.645,1.184,0.0262,4.791,D,10.36,B,8.843,C,23.994,B-,46013,anderson-in
3.562,0.7963,0.3821,0.0508,3.433,1.8,5.085,0.0397,0.071,1.918,5.645,1.184,0.0262,4.791,D,10.36,B,8.843,C,23.994,B-,46014,anderson-in
3.562,0.7963,0.3821,0.0508,3.433,1.8,5.085,0.0397,0.071,1.918,5.645,1.184,0.0262,4.791,D,10.36,B,8.843,C,23.994,B-,46015,anderson-in
3.562,0.7963,0.3821,0.0508,3.433,1.8,5.085,0.0397,0.071,1.918,5.645,1.184,0.0262,4.791,D,10.36,B,8.843,C,23.994,B-,46016,anderson-in
3.562,0.7963,0.3821,0.0508,3.433,1.8,5.085,0.0397,0.071,1.918,5.645,1.184,0.0262,4.791,D,10.36,B,8.843,C,23.994,B-,46017,anderson-in
3.562,0.7963,0.3821,0.0508,3.433,1.8,5.085,0.0397,0.071,1.918,5.645,1.184,0.0262,4.791,D,10.36,B,8.843,C,23.994,B-,46018,anderson-in
